step,task,reward_PolicyClone,reward_PrototypeOutcome,reward_AEP,reward_GoalInference,reward_SafeFallback,oracle_correct_set,oracle_set_size,strict_oracle_best_capital,strict_oracle_best_reward,BS_chosen,BS_reward,BS_in_oracle_set,BS_strict_hit,OH_chosen,OH_reward,LogisticRegressionSelector_chosen,LogisticRegressionSelector_reward,LogisticRegressionSelector_oracle_set_hit,LogisticRegressionSelector_strict_hit,RandomForestSelector_chosen,RandomForestSelector_reward,RandomForestSelector_oracle_set_hit,RandomForestSelector_strict_hit,MLPReportSelector_chosen,MLPReportSelector_reward,MLPReportSelector_oracle_set_hit,MLPReportSelector_strict_hit
435,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
436,Task_A,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
437,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
438,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
439,Task_A,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
440,Task_A,0.0,0.0,0.0,0.0,0.0,NONE,0,SafeFallback,0.0,AEP,0.0,0,0,PolicyClone,0.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
441,Task_A,0.0,0.0,0.0,0.0,1.0,SafeFallback,1,SafeFallback,1.0,AEP,0.0,0,0,SafeFallback,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
442,Task_A,1.0,1.0,1.0,0.0,1.0,PolicyClone;PrototypeOutcome;AEP;SafeFallback,4,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
443,Task_A,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
444,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
